Rodada;E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2]
1;0.8251882900512276;2.327873869649319;0.8240549740498136;0.37188491056128686;1.8285272990111436;26.61792801736894;879.1755108316795;12.447827426043945;11.99573792099486;27.621111158897875
2;0.8316073449889374;2.4088578819105586;0.82657899273182;0.3751323628794473;1.832127590182525;27.61133813060829;1072.8850761559731;12.904087880340635;12.45240725959541;28.612554120271984
3;0.8295040128408834;2.3702428215320346;0.825309951966513;0.3740012420310639;1.8307399769761181;24.32520860409347;629.1466626366621;11.42296260733359;10.97098824763468;25.327727991067356
4;0.8263935209591159;2.33905034115181;0.8244713767775069;0.372346428228174;1.829839947631189;25.64019490681199;903.5530142346955;11.997404022989361;11.55002573224236;26.63334428622046
5;0.8138839715289774;2.312746447520566;0.8119761848793462;0.36458694337937075;1.8126230785652087;23.616533478463335;662.9918263884251;11.029752205785943;10.581830187752283;24.616235743872643
6;0.811787200536034;2.30456984653284;0.8119049540544211;0.36258927189282597;1.8177310220109764;24.390560590404327;729.3340174808352;11.342635961604461;10.894064158987307;25.394892877414478
7;0.8143920717742641;2.3042500713877367;0.812772533507398;0.36501670139131737;1.8133841682350262;23.198318450093897;578.8468662973223;10.844798723167777;10.397900216292236;24.195321947948813
8;0.8294830189077071;2.393809226051343;0.829087151624247;0.3756353323645343;1.8307867855301336;33.69079817622362;1993.8033007231602;15.710513956736973;15.255602245938427;34.69556808423136
9;0.8043068703460908;2.1773885835927933;0.8086434885036266;0.36114789397412045;1.8009327781268907;23.569342443553655;730.31509823815;11.031118919892574;10.582606680648292;24.568181846461645
10;0.8360680522646378;2.3942816305205374;0.8290729307669031;0.37743463836738556;1.8365421464237244;29.329093747748836;1316.1590547448614;13.694748982790387;13.242245636766155;30.331283609671388
11;0.8062145168997118;2.2623496911588843;0.8099085571845736;0.36165511334975453;1.8054421501122089;25.40368659730491;771.3087043867874;11.83715579720669;11.386992060837576;26.407533027064236
12;0.7966868788363273;2.2147852589519648;0.8029153660312756;0.35702508111293463;1.7915757845710498;23.766318013927496;712.7793513013261;11.108819094656562;10.660186153913367;24.767000168363698
13;0.8285134345450745;2.3010081287559068;0.827834130981498;0.3751656046312521;1.8282758286246286;24.193118692479047;596.0733231743884;11.40312043633007;10.95301928473862;25.187410333774157
14;0.8142604640400304;2.275454981793759;0.8149145256962145;0.365448441732328;1.8157217382041317;22.99006443170492;635.3634724685904;10.766723426123033;10.31944076571331;23.986410213972793
15;0.8480240960679802;2.5119360109946647;0.8352416338872277;0.3821912054899116;1.8532571140066907;28.289033371347873;1381.774293667863;13.197220451831503;12.749588389009654;29.28229877300968
16;0.8213527718039053;2.311522012904764;0.8197464568799885;0.3698657011517841;1.8204237675875425;25.735225356156118;772.1162635243546;12.035890432885665;11.584784820221051;26.73730490040581
17;0.8180025474941259;2.2551511248740974;0.8168655489466677;0.3673227133494861;1.819091009914293;22.906410246345633;594.4379861088698;10.735052573079603;10.289635116903463;23.898055112764126
18;0.831769057803489;2.4332397927328953;0.8270810707788204;0.3754154559171777;1.8324776780669298;25.334446149512534;709.7636345786952;11.886658836790652;11.434823334105639;26.335503247499783
19;0.8256014153188074;2.3312010225597763;0.822341751134649;0.37114699000655055;1.8292763601341004;26.802977348361793;913.8530255207921;12.497897297043076;12.047964343658855;27.803895623991284
20;0.8238601405331348;2.288351354267009;0.8228187030646462;0.3709566144643276;1.827393303064946;25.994565334964655;858.3281695770544;12.154200522018593;11.705864952217476;26.99019828421749
Media T-student;0.8218449838770232;-;0.8201770141723579;0.36979843231375165;1.8228084763489734;25.670258104373765;-;12.002429477732552;11.552785375408552;26.669591567556058
Superior T-student;0.8274963333491594;-;0.8241511862368428;0.3728311248135143;1.829287438373456;26.892744573119586;-;12.567064356427636;12.11662916446586;27.892778459129424
Inferior T-student;0.816193634404887;-;0.816202842107873;0.36676573981398897;1.8163295143244906;24.447771635627944;-;11.437794599037467;10.988941586351245;25.44640467598269
Precisão T-student;0.0068764177953318005;-;0.004845505294360404;0.008200933900091923;0.0035543844065614345;0.047622679280249686;-;0.04704338232043943;0.04880587414507976;0.045864477844549785
Superior Chi-Quadrado;0.5003268032343889;8.876663273659304e-05;0.49931136849109936;0.225127695745982;1.1096982469588161;15.627665104158904;4.153684812744875;7.306897638178811;7.033161105472023;16.236044210691194
Inferior Chi-Quadrado;1.8454914119096404;0.0003274221115489099;1.8417459077991645;0.8303997035465231;4.093201825955898;57.64376713676515;15.321165286659763;26.95201766483131;25.942320768781475;59.8878172436802
Precisão Chi-Quadrado;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709
