Rodada;E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2]
1;0.43861869432852507;1.07576287760791;0.6236229028956957;0.1893585602522692;1.4464696965014807;3.8022331970451386;28.34417432148232;2.0766074327409942;1.6428497618309517;4.806077639343757
2;0.42861915504043746;1.0322716145284456;0.6194417407767896;0.18578085625524993;1.4323546380823151;3.61884928725722;24.431568588221218;1.9950833988880148;1.5619258409887868;4.619090891125324
3;0.42049500816229207;0.9975409502104406;0.616315387717959;0.1831372771242571;1.42267565231476;3.565590839396167;23.3581036793197;1.9848599495331651;1.5510085033616778;4.561108854776057
4;0.41252615126362885;0.9551868200016356;0.6127948372644969;0.18040573874318325;1.410641115747944;3.5766289798305273;24.979682146092774;1.9816497553300711;1.548077307697436;4.575905670605787
5;0.40628162253193123;0.9351027388056299;0.60966;0.17826;1.3977419142446528;3.517795809162467;25.29429286958388;1.9549;1.5218333333333334;4.515123800370518
6;0.4265307454702367;1.0195989555507416;0.618045092732097;0.18464420474393675;1.4263512919227732;3.5147854466372026;22.63931882087339;1.9601605311929173;1.5272463033826216;4.515186109896814
7;0.41844944156618724;0.9937029514221527;0.6139174261161741;0.18134454229694866;1.4154207542990567;3.5353606180967065;24.360243152801466;1.9615064100427335;1.5282068547123648;4.533895142936241
8;0.42876787618335366;1.0512742411179163;0.6155533333333333;0.18313666666666667;1.431613106953185;3.6135160172900185;25.24312451457292;1.9955433333333332;1.56196;4.6141398111999825
9;0.42807585744116683;1.024190409562091;0.6180692128719142;0.1842754381637456;1.4339939566029236;3.586784767912976;25.241672141066115;1.989740068399544;1.5568329544469703;4.583580560063762
10;0.4258396356345477;1.0406000469975416;0.6170979430068566;0.1846627177909407;1.4243941004316043;3.5931876692977203;25.327874727579825;1.992413358622138;1.5590581364728784;4.591512982918927
Superior T-student;0.430035059976426;-;0.619198520088288;0.18569551551174315;1.4339428637952782;3.6513754564963787;-;2.0137827662430867;1.5803080796086368;4.651660792770466
Inferior T-student;0.4168057775480354;-;0.6137050552547753;0.1813056848956964;1.4143883816248601;3.533571069888849;-;1.9647100813734957;1.5314917196367677;4.531463499876969
Precisão T-student;0.015621923084228308;-;0.00445571327991658;0.011961352200410285;0.006865241604837966;0.016396000467772138;-;0.012334491162649553;0.015687500199629473;0.013088932378900166
Superior Chi-Quadrado;0.22258612586989898;4.4946236233618624e-05;0.32405998653652857;0.09646367034813047;0.7486637264277416;1.8885123874818803;0.0035640490987596334;1.0457187118429414;0.8179145727331042;2.4137192836110786
Inferior Chi-Quadrado;1.5679975750361588;0.0003166216633938323;2.282825450461926;0.6795338235652838;5.273926678801069;13.303537371992983;0.025106777533076476;7.36651665925512;5.761761033488018;17.003332839048273
Precisão Chi-Quadrado;0.7513814900054463;0.7513814900054463;0.7513814900054463;0.7513814900054463;0.7513814900054463;0.7513814900054463;0.7513814900054463;0.7513814900054463;0.7513814900054463;0.7513814900054463
