E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.6675;1.7818;0.6672;0.2671;1.6678;10.6593;162.5029;4.6722;4.2721;11.6595;
Sup. T-student;0.6690;1.7903;0.6680;0.2677;1.6695;10.7063;164.7604;4.6922;4.2920;11.7066;
Inf. T-student;0.6661;1.7734;0.6664;0.2665;1.6661;10.6124;160.2454;4.6522;4.2523;11.6125;
Prec. T-student;0.0021;0.0047;0.0012;0.0023;0.0010;0.0044;0.0139;0.0043;0.0046;0.0040;
Sup. Chi-Quadrado;0.7002;1.8689;0.6998;0.2801;1.7493;11.1801;170.4422;4.9005;4.4808;12.2292;
Inf. Chi-Quadrado;0.6375;1.7017;0.6372;0.2551;1.5928;10.1799;155.1945;4.4621;4.0800;11.1352;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.6674;1.7794;0.6672;0.2671;1.6674;10.6225;160.5931;4.6580;4.2580;11.6224;
Sup. T-student;0.6688;1.7877;0.6679;0.2677;1.6691;10.6684;162.6829;4.6775;4.2774;11.6684;
Inf. T-student;0.6660;1.7711;0.6664;0.2665;1.6658;10.5766;158.5032;4.6384;4.2386;11.5764;
Prec. T-student;0.0021;0.0047;0.0012;0.0022;0.0010;0.0043;0.0130;0.0042;0.0046;0.0040;
Sup. Chi-Quadrado;0.7000;1.8664;0.6997;0.2801;1.7489;11.1415;168.4391;4.8855;4.4660;12.1902;
Inf. Chi-Quadrado;0.6374;1.6994;0.6371;0.2551;1.5924;10.1448;153.3706;4.4485;4.0665;11.0997;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.6664;1.7806;0.6669;0.2667;1.6665;10.6509;162.4479;4.6699;4.2699;11.6506;
Sup. T-student;0.6678;1.7888;0.6677;0.2673;1.6681;10.6981;164.6561;4.6900;4.2898;11.6979;
Inf. T-student;0.6650;1.7725;0.6661;0.2661;1.6648;10.6037;160.2398;4.6498;4.2499;11.6033;
Prec. T-student;0.0021;0.0046;0.0012;0.0023;0.0010;0.0044;0.0136;0.0043;0.0047;0.0041;
Sup. Chi-Quadrado;0.6990;1.8676;0.6995;0.2798;1.7479;11.1713;170.3846;4.8980;4.4785;12.2198;
Inf. Chi-Quadrado;0.6364;1.7005;0.6369;0.2547;1.5915;10.1719;155.1420;4.4598;4.0778;11.1266;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
