Rodada;E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2]
1;0.418793488492422;0.99444869704709;0.4255317318077282;0.12544565941977254;1.4206012270911959;3.702516484217339;27.815846822997454;1.4090997685886832;1.10898310057974;4.7044764777747
2;0.43343480686179553;1.0576753892346227;0.42923082477359015;0.1297684730236006;1.433657769873552;3.6425179703214985;25.117322744502424;1.3901749115681272;1.0905835598161506;4.6431426462569085
3;0.42392028147744726;1.0000816862566921;0.42798651374943264;0.12698263015121267;1.4288014118702128;3.724111911888635;26.666398619991888;1.414980875758835;1.1155548256748455;4.72368413929166
4;0.4273778606810159;1.0117103818539088;0.42718849655654034;0.1278907029316637;1.4275478343040915;3.5748804902336517;25.34003739100183;1.3670595039568167;1.069788438229796;4.5682831976459575
5;0.4395750049456846;1.0890517299633686;0.4336345658332445;0.1325788678684529;1.4377473535969714;3.670287276276817;26.023034661296357;1.4093363585288263;1.1069840786348704;4.672758537846867
6;0.43523539543491496;1.0697838451736974;0.43272005343940556;0.13072986865669356;1.4406431025024782;3.7086515594433918;26.52163784828007;1.4154121578580032;1.1138953330284231;4.712541733249678
7;0.4339314113201707;1.06117165156213;0.42910878143215864;0.13015748205604666;1.4306037286176208;3.670248221303337;25.793544138437113;1.4007190141261665;1.1009173398303504;4.669708426470748
8;0.4314481801088978;1.0513853523271037;0.42989043409828825;0.12951694462557534;1.43190469794258;3.6170627187410362;24.979238556882684;1.3842198694949661;1.0853141894302523;4.612794156715874
9;0.4369247705995697;1.0752391424489012;0.43384968288155;0.13155923785886922;1.4410183379213326;3.6594679500142164;24.673687934994966;1.4022076353141244;1.1023853169319842;4.6552276108453565
10;0.42273878436723544;1.025668795587443;0.42683158057162623;0.12692385658210395;1.4216260706171393;3.6776013384859283;26.09160958691954;1.4054002096725824;1.1041855147684738;4.6808063112975145
11;0.4258785275765657;1.0226682930998905;0.42819208009502724;0.12783322306888792;1.4265290994977533;3.6377338565989246;26.077499651408694;1.3917521421437684;1.0918843480118179;4.63679238975863
12;0.4329172770736125;1.0584065018928834;0.4310502247248167;0.12977807924729262;1.437927264502328;3.619241902337034;25.35628911780193;1.3862169716314057;1.0846791285885575;4.625166716780569
13;0.42425592027631565;1.0113970041426015;0.4285915291137876;0.1278030513498653;1.4227373956982325;3.6742799545094242;26.292032662093696;1.4084232860977048;1.1071567460212148;4.6742719318801536
14;0.42213879331675686;1.0316291927901249;0.42371270679952605;0.12584825759218896;1.4212796758848523;3.5010312486118016;23.596450752193917;1.3407205778994198;1.0437231805573792;4.49727103481927
15;0.4339474428459819;1.109315716816271;0.43104983040986206;0.130063421738192;1.438167389002936;3.696132329137694;27.17920679802014;1.4080717457660408;1.1078169779237705;4.697903910284778
16;0.43559105523521624;1.0695642544260704;0.43232535677365125;0.13071729229847748;1.440609154964015;3.6404348075263124;24.921220558193063;1.3918819107042084;1.092273571923234;4.638851254279046
17;0.4363639485697282;1.049330353428536;0.43419255302742077;0.13127852657331504;1.443271279455889;3.6766295025340705;25.48086073008674;1.4061379617918968;1.106290511839335;4.673283406094508
18;0.4361891415090093;1.1079415659714054;0.4284124551109884;0.13018414260792638;1.4354220367724915;3.682187859038335;27.51285410608114;1.3979375617978735;1.098946881322965;4.683975873496262
19;0.43153882449210934;1.0441233157021568;0.4299517582646533;0.1292357651752733;1.4356749646065383;3.6250960105101204;24.55986404596682;1.3855919984086544;1.0856640777989106;4.626597857995266
20;0.43960213829836603;1.083009730642354;0.4333185960275458;0.132502044990882;1.4376214449447486;3.7489339234066006;26.34435619167328;1.4325203453672273;1.1299211891633447;4.752883259772174
Media T-student;0.43109015267414075;-;0.42983848777454214;0.12933987639081462;1.4326695619833476;3.657452365756808;-;1.3973932403237663;1.0973474155037708;4.657521043627797
Superior T-student;0.43400160175879743;-;0.43120413799000384;0.13030506151156024;1.4360889277080238;3.68315110549987;-;1.4065306328164764;1.1059678746232589;4.684066259992036
Inferior T-student;0.42817870358948407;-;0.42847283755908044;0.128374691270069;1.4292501962586714;3.6317536260137464;-;1.3882558478310563;1.0887269563842827;4.630975827263558
Precisão T-student;0.006753689608997904;-;0.0031771240926615446;0.007462394024787838;0.0023867092701701084;0.00702640449501637;-;0.006538884137290574;0.00785572462986171;0.005699430258196493
Superior Chi-Quadrado;0.26244116862012956;2.355937777797489e-05;0.261679173949331;0.0787401616544155;0.8721875732049238;2.2266017144846106;0.001835562047139615;0.8507118818129236;0.6680485191337189;2.835428408605926
Inferior Chi-Quadrado;0.9680331329222884;8.690046001556901e-05;0.9652224607540398;0.29043875156439486;3.217126617080194;8.212980626383906;0.006770602678338788;3.1379119842191376;2.4641450284698476;10.458681692324717
Precisão Chi-Quadrado;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709
