E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.1110;0.2338;0.1111;0.0111;1.1107;0.5276;1.4901;0.1528;0.0528;1.5275;
Sup. T-student;0.1113;0.2349;0.1111;0.0111;1.1113;0.5285;1.4960;0.1529;0.0529;1.5286;
Inf. T-student;0.1108;0.2328;0.1110;0.0111;1.1101;0.5266;1.4842;0.1526;0.0527;1.5264;
Prec. T-student;0.0024;0.0045;0.0007;0.0025;0.0005;0.0018;0.0040;0.0009;0.0019;0.0007;
Sup. Chi-Quadrado;0.1164;0.2452;0.1165;0.0116;1.1650;0.5534;1.5629;0.1602;0.0553;1.6021;
Inf. Chi-Quadrado;0.1060;0.2233;0.1061;0.0106;1.0607;0.5038;1.4231;0.1459;0.0504;1.4588;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.1113;0.2352;0.1112;0.0111;1.1112;0.5273;1.4899;0.1528;0.0528;1.5271;
Sup. T-student;0.1116;0.2362;0.1113;0.0112;1.1118;0.5283;1.4960;0.1529;0.0529;1.5282;
Inf. T-student;0.1110;0.2341;0.1111;0.0111;1.1106;0.5264;1.4838;0.1527;0.0527;1.5259;
Prec. T-student;0.0024;0.0044;0.0007;0.0025;0.0005;0.0018;0.0041;0.0009;0.0020;0.0008;
Sup. Chi-Quadrado;0.1168;0.2467;0.1166;0.0117;1.1655;0.5531;1.5627;0.1603;0.0554;1.6017;
Inf. Chi-Quadrado;0.1063;0.2246;0.1062;0.0106;1.0612;0.5036;1.4229;0.1459;0.0504;1.4584;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.1112;0.2350;0.1111;0.0111;1.1111;0.5274;1.4895;0.1527;0.0528;1.5271;
Sup. T-student;0.1114;0.2361;0.1112;0.0111;1.1117;0.5283;1.4954;0.1529;0.0529;1.5282;
Inf. T-student;0.1109;0.2340;0.1110;0.0111;1.1106;0.5264;1.4836;0.1526;0.0526;1.5259;
Prec. T-student;0.0024;0.0043;0.0007;0.0025;0.0005;0.0018;0.0040;0.0010;0.0020;0.0007;
Sup. Chi-Quadrado;0.1166;0.2465;0.1165;0.0117;1.1654;0.5531;1.5623;0.1602;0.0553;1.6017;
Inf. Chi-Quadrado;0.1062;0.2245;0.1061;0.0106;1.0612;0.5037;1.4225;0.1458;0.0504;1.4584;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.1114;0.2354;0.1112;0.0111;1.1115;0.5285;1.4984;0.1530;0.0529;1.5289;
Sup. T-student;0.1116;0.2364;0.1113;0.0112;1.1121;0.5295;1.5046;0.1531;0.0530;1.5300;
Inf. T-student;0.1111;0.2343;0.1111;0.0111;1.1109;0.5276;1.4923;0.1528;0.0528;1.5278;
Prec. T-student;0.0024;0.0045;0.0007;0.0025;0.0005;0.0018;0.0041;0.0010;0.0020;0.0007;
Sup. Chi-Quadrado;0.1168;0.2469;0.1166;0.0117;1.1658;0.5543;1.5716;0.1604;0.0555;1.6036;
Inf. Chi-Quadrado;0.1063;0.2248;0.1062;0.0106;1.0615;0.5048;1.4310;0.1461;0.0505;1.4601;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.1112;0.2345;0.1112;0.0111;1.1116;0.5288;1.4989;0.1529;0.0529;1.5284;
Sup. T-student;0.1114;0.2355;0.1113;0.0112;1.1122;0.5297;1.5052;0.1531;0.0530;1.5295;
Inf. T-student;0.1109;0.2335;0.1111;0.0111;1.1110;0.5278;1.4926;0.1528;0.0528;1.5272;
Prec. T-student;0.0023;0.0043;0.0007;0.0024;0.0005;0.0018;0.0042;0.0010;0.0020;0.0008;
Sup. Chi-Quadrado;0.1166;0.2460;0.1166;0.0117;1.1659;0.5546;1.5722;0.1604;0.0555;1.6030;
Inf. Chi-Quadrado;0.1062;0.2240;0.1062;0.0106;1.0616;0.5050;1.4315;0.1461;0.0505;1.4596;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
