E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.2501;0.5634;0.2500;0.0500;1.2496;1.4988;6.3628;0.5000;0.3000;2.4986;
Sup. T-student;0.2507;0.5659;0.2502;0.0502;1.2505;1.5020;6.3986;0.5008;0.3007;2.5019;
Inf. T-student;0.2495;0.5609;0.2498;0.0499;1.2488;1.4957;6.3269;0.4992;0.2993;2.4952;
Prec. T-student;0.0023;0.0045;0.0009;0.0024;0.0007;0.0021;0.0056;0.0016;0.0023;0.0013;
Sup. Chi-Quadrado;0.2623;0.5909;0.2622;0.0525;1.3107;1.5721;6.6736;0.5244;0.3147;2.6206;
Inf. Chi-Quadrado;0.2388;0.5380;0.2387;0.0478;1.1934;1.4314;6.0766;0.4775;0.2865;2.3862;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.2499;0.5630;0.2501;0.0500;1.2496;1.4990;6.3597;0.5002;0.3002;2.4986;
Sup. T-student;0.2505;0.5654;0.2503;0.0501;1.2505;1.5021;6.3953;0.5010;0.3009;2.5019;
Inf. T-student;0.2494;0.5606;0.2498;0.0499;1.2487;1.4959;6.3241;0.4994;0.2995;2.4954;
Prec. T-student;0.0022;0.0043;0.0009;0.0024;0.0007;0.0021;0.0056;0.0015;0.0023;0.0013;
Sup. Chi-Quadrado;0.2621;0.5906;0.2623;0.0525;1.3106;1.5722;6.6704;0.5246;0.3148;2.6207;
Inf. Chi-Quadrado;0.2387;0.5377;0.2388;0.0478;1.1934;1.4316;6.0737;0.4777;0.2867;2.3863;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.2499;0.5621;0.2500;0.0500;1.2503;1.4987;6.3643;0.4999;0.2999;2.4990;
Sup. T-student;0.2505;0.5646;0.2503;0.0501;1.2512;1.5019;6.4008;0.5007;0.3006;2.5024;
Inf. T-student;0.2494;0.5597;0.2498;0.0499;1.2494;1.4954;6.3277;0.4991;0.2992;2.4956;
Prec. T-student;0.0022;0.0044;0.0009;0.0024;0.0007;0.0022;0.0057;0.0016;0.0024;0.0014;
Sup. Chi-Quadrado;0.2621;0.5896;0.2623;0.0524;1.3114;1.5719;6.6752;0.5244;0.3145;2.6211;
Inf. Chi-Quadrado;0.2387;0.5368;0.2388;0.0477;1.1941;1.4313;6.0781;0.4774;0.2864;2.3866;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.2500;0.5617;0.2501;0.0500;1.2500;1.5001;6.3656;0.5005;0.3004;2.5003;
Sup. T-student;0.2506;0.5641;0.2504;0.0502;1.2509;1.5033;6.4024;0.5013;0.3011;2.5037;
Inf. T-student;0.2495;0.5593;0.2499;0.0499;1.2491;1.4969;6.3289;0.4997;0.2997;2.4969;
Prec. T-student;0.0022;0.0043;0.0009;0.0023;0.0007;0.0021;0.0058;0.0016;0.0024;0.0014;
Sup. Chi-Quadrado;0.2622;0.5891;0.2624;0.0525;1.3111;1.5734;6.6766;0.5250;0.3150;2.6224;
Inf. Chi-Quadrado;0.2388;0.5364;0.2389;0.0478;1.1938;1.4327;6.0793;0.4780;0.2869;2.3878;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.2501;0.5633;0.2501;0.0501;1.2501;1.4997;6.3741;0.5003;0.3002;2.4995;
Sup. T-student;0.2507;0.5657;0.2503;0.0502;1.2510;1.5028;6.4095;0.5010;0.3009;2.5028;
Inf. T-student;0.2496;0.5608;0.2499;0.0499;1.2492;1.4966;6.3387;0.4995;0.2995;2.4962;
Prec. T-student;0.0023;0.0043;0.0009;0.0024;0.0007;0.0021;0.0056;0.0016;0.0023;0.0013;
Sup. Chi-Quadrado;0.2623;0.5908;0.2623;0.0525;1.3111;1.5730;6.6855;0.5247;0.3149;2.6216;
Inf. Chi-Quadrado;0.2389;0.5379;0.2389;0.0478;1.1939;1.4323;6.0874;0.4778;0.2867;2.3871;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
