Rodada;E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2]
1;0.6650145124599424;1.746178371021244;0.7780351946238029;0.3104113817506642;1.670184411794793;10.582661905837176;155.7014684793691;5.385980819296708;4.918610349046132;11.585729264677155
2;0.6803790457863576;1.8214554582501197;0.7833811671450048;0.3162031620316203;1.6845569655818993;10.683229724486159;150.00492403490733;5.466387997213306;4.998763320966543;11.683914407232106
3;0.6684666134537616;1.7901957342923804;0.7795540148661712;0.31258958034732176;1.6737857840001107;11.288695754660717;209.00835453940155;5.724222525915803;5.256634778840706;12.289162592358075
4;0.6667831452961417;1.805088472905258;0.7763896481380248;0.31035252863295154;1.6657267436644925;10.441878088619882;148.56999978813727;5.327538966147118;4.860225196997374;11.442978160699761
5;0.6766097099084238;1.8220863129193356;0.7852533333333334;0.31732;1.6741083209303278;10.602007707437464;161.16900765651113;5.410783333333334;4.944323333333333;11.603715854547406
6;0.6804846726152242;1.9096456903704924;0.7851571354284724;0.31786090481206414;1.6838526539114118;10.658515744826383;159.18497176616228;5.4031387085161136;4.936705822744304;11.662169704388404
7;0.6718835253956295;1.8166380694252675;0.7797814681235459;0.3133179112139252;1.6700061646636948;10.559860378924446;161.28677118184504;5.390657395617363;4.923967173552176;11.557912647940023
8;0.6586267483670514;1.7490716263526938;0.7711246595753901;0.30535045817735745;1.6560316482948279;10.962309049186262;193.4015910467516;5.584400302673729;5.1168193924524905;11.961334437874164
9;0.6707325987440644;1.8169238739649867;0.7803551250470823;0.3134993516817941;1.6711672902466124;11.067920971012006;194.72289606956488;5.633978540500721;5.167309429446647;12.065888342788778
10;0.676299988944587;1.8234085019829829;0.7855333333333333;0.31799666666666665;1.6776275899558515;11.210312934683003;191.1672875711157;5.716773333333333;5.24902;12.213703529246022
11;0.6539371594982396;1.7337312886296576;0.7683815441230392;0.3028646475690162;1.6495880177482405;9.851262127789362;143.65602849246164;5.06977620149199;4.603939307071286;10.851354338622098
12;0.6747820778199457;1.8105488884138516;0.7827052180347869;0.31550877005846706;1.6816772834439762;10.979711597103222;179.4257391794024;5.591553943692958;5.1243208288055255;11.98298263287467
13;0.6642387059737627;1.7945393382723251;0.7762281584789434;0.31025126499156674;1.6589626975941192;10.650287437852908;158.0700769934421;5.424210505263298;4.9570136199092;11.651830521981735
14;0.6615666040491652;1.7581508129522383;0.7736825789419298;0.30780769269230895;1.661296899954262;10.834488053520934;181.67845010021875;5.510848369494565;5.04455348184494;11.832472093362352
15;0.6713440843086442;1.8159289908586485;0.7806173979420069;0.31399228669237766;1.6743465715580341;10.76204712839652;164.7129448250763;5.471781760727464;5.005289982366725;11.763273061154205
16;0.6725113887491523;1.791048398928136;0.7805066666666667;0.31316333333333335;1.678487715932876;10.6687424901908;157.11256192134434;5.442076666666667;4.97585;11.664700646226489
17;0.674741843113461;1.843210719425697;0.7812478124781248;0.3141964752980863;1.6765668535759393;11.023553075002786;165.91186481988848;5.6163461634616345;5.148208148748155;12.025672843208993
18;0.677661841786656;1.8668059596516284;0.7816733333333333;0.31472666666666665;1.6811117467326764;10.627319045453122;178.76874063994507;5.398053333333333;4.931896666666667;11.627364881557888
19;0.6801628073664574;1.8189261298142148;0.7815521844781552;0.31390019433139;1.6856968885708414;11.123007195403888;175.59635639334303;5.650923490765092;5.184318156818432;12.12456534701962
20;0.6876335378459875;1.9119823245401009;0.785702380714281;0.31778635572711456;1.68996037963951;10.864767237872721;157.37402527166896;5.552797722621119;5.086081721634432;11.863244128225045
Superior T-student;0.6755693927217086;-;0.7820648066930802;0.3148843565633623;1.6782171666940777;10.9223996604961;-;5.560308485172004;5.09322866049101;11.923069203808621
Inferior T-student;0.667816668426557;-;0.7776214287874625;0.3110256067041072;1.6682570960853718;10.62185810432988;-;5.416914522834561;4.950156410633496;11.622327739789876
Precisão T-student;0.005771032258980603;-;0.0028488921710901715;0.006165023862395473;0.0029762878261115648;0.013949961026594147;-;0.013062863187971568;0.014245421124881195;0.01277283473874548
Superior Chi-Quadrado;0.4089165637497665;4.176323242383042e-05;0.47475670202753617;0.1905222622135189;1.0186414730573685;6.557909232883987;0.06276166946233915;3.3413837181786175;3.0571305081054208;7.167040874364057
Inferior Chi-Quadrado;1.5083181666648826;0.00015404668763200043;1.7511742538564463;0.7027550721241845;3.757332363946294;24.18932004268543;0.23150093347207137;12.324934254830461;11.276445837646708;26.436145928899766
Precisão Chi-Quadrado;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709
