E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.4282;1.0398;0.4286;0.1285;1.4281;3.6406;25.7639;1.3937;1.0935;4.6412;
Sup. T-student;0.4291;1.0442;0.4290;0.1288;1.4292;3.6498;25.9548;1.3968;1.0965;4.6505;
Inf. T-student;0.4274;1.0354;0.4282;0.1283;1.4269;3.6315;25.5730;1.3906;1.0905;4.6318;
Prec. T-student;0.0020;0.0042;0.0010;0.0022;0.0008;0.0025;0.0074;0.0022;0.0027;0.0020;
Sup. Chi-Quadrado;0.4491;1.0906;0.4495;0.1348;1.4979;3.8185;27.0226;1.4618;1.1469;4.8679;
Inf. Chi-Quadrado;0.4090;0.9931;0.4093;0.1228;1.3639;3.4769;24.6052;1.3311;1.0443;4.4324;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.4284;1.0389;0.4287;0.1286;1.4287;3.6389;25.8707;1.3929;1.0929;4.6387;
Sup. T-student;0.4293;1.0432;0.4292;0.1289;1.4299;3.6482;26.0707;1.3961;1.0959;4.6481;
Inf. T-student;0.4276;1.0346;0.4283;0.1283;1.4276;3.6296;25.6707;1.3898;1.0899;4.6293;
Prec. T-student;0.0020;0.0042;0.0010;0.0022;0.0008;0.0026;0.0077;0.0023;0.0028;0.0020;
Sup. Chi-Quadrado;0.4494;1.0896;0.4497;0.1349;1.4985;3.8167;27.1346;1.4610;1.1463;4.8654;
Inf. Chi-Quadrado;0.4092;0.9922;0.4095;0.1228;1.3645;3.4752;24.7072;1.3303;1.0437;4.4301;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.4288;1.0412;0.4287;0.1287;1.4288;3.6379;25.7208;1.3924;1.0924;4.6381;
Sup. T-student;0.4296;1.0455;0.4291;0.1289;1.4300;3.6473;25.9170;1.3956;1.0954;4.6476;
Inf. T-student;0.4279;1.0368;0.4283;0.1284;1.4277;3.6286;25.5246;1.3893;1.0893;4.6286;
Prec. T-student;0.0020;0.0042;0.0010;0.0022;0.0008;0.0026;0.0076;0.0023;0.0028;0.0020;
Sup. Chi-Quadrado;0.4497;1.0920;0.4496;0.1350;1.4986;3.8157;26.9774;1.4605;1.1458;4.8647;
Inf. Chi-Quadrado;0.4095;0.9943;0.4094;0.1229;1.3646;3.4743;24.5640;1.3298;1.0433;4.4295;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.4289;1.0421;0.4289;0.1288;1.4289;3.6443;25.8977;1.3950;1.0950;4.6439;
Sup. T-student;0.4297;1.0465;0.4294;0.1290;1.4300;3.6535;26.0941;1.3982;1.0980;4.6533;
Inf. T-student;0.4280;1.0377;0.4285;0.1285;1.4277;3.6350;25.7013;1.3919;1.0919;4.6345;
Prec. T-student;0.0020;0.0042;0.0010;0.0021;0.0008;0.0025;0.0076;0.0022;0.0028;0.0020;
Sup. Chi-Quadrado;0.4498;1.0930;0.4499;0.1351;1.4987;3.8223;27.1630;1.4632;1.1485;4.8708;
Inf. Chi-Quadrado;0.4096;0.9952;0.4096;0.1230;1.3646;3.4804;24.7330;1.3323;1.0457;4.4351;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.4285;1.0391;0.4287;0.1286;1.4285;3.6346;25.6494;1.3915;1.0915;4.6344;
Sup. T-student;0.4293;1.0434;0.4291;0.1289;1.4296;3.6436;25.8340;1.3946;1.0945;4.6435;
Inf. T-student;0.4276;1.0348;0.4282;0.1283;1.4273;3.6255;25.4649;1.3884;1.0885;4.6252;
Prec. T-student;0.0020;0.0042;0.0010;0.0022;0.0008;0.0025;0.0072;0.0022;0.0027;0.0020;
Sup. Chi-Quadrado;0.4494;1.0899;0.4496;0.1349;1.4983;3.8122;26.9026;1.4595;1.1448;4.8608;
Inf. Chi-Quadrado;0.4092;0.9924;0.4094;0.1228;1.3642;3.4711;24.4959;1.3289;1.0424;4.4259;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
