Rodada;E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2]
1;0.8078803847570879;2.2480987868170095;0.8134640168264462;0.3633535209467;1.808645403172373;26.755336298956802;851.7953995366152;12.48676833823753;12.035146284158893;27.7593049557825
2;0.829005508470528;2.3082718708121472;0.8272107902026612;0.3744646777785233;1.831316799925136;27.645620914215517;890.5844228963485;12.941739585197066;12.48806146966599;28.649998762076788
3;0.8173194160621098;2.256294184862404;0.8209345457004179;0.36823980504565035;1.8220908597553556;26.663303597789685;976.3225327268761;12.464887384436741;12.013218384963453;27.665737826223438
4;0.8250346229916263;2.2936939837390917;0.8250772860033075;0.37257118150781515;1.8270744761740136;26.95220188439279;868.3610939991017;12.61627641041408;12.16598342937162;27.949670767355304
5;0.8242577018477768;2.2958145879707317;0.822458614169403;0.37222191504198754;1.8212733312701084;26.036658272331856;823.3048661283576;12.215328269436561;11.762754392951772;27.038540675780084
6;0.8093073862833713;2.273618269724373;0.8107489856786413;0.36175242100083926;1.813806690823033;24.482352761882623;747.3940858329782;11.388688248857049;10.943160312199895;25.479153588392112
7;0.8371020087285314;2.4010654981187747;0.8304799330849759;0.3783061052823587;1.83764672463282;27.781957511370674;917.0224391457556;13.007463638305195;12.555491399835123;28.7820334209574
8;0.8096344944606279;2.1921394378985903;0.8128226969726756;0.3646386833651774;1.8047694725087449;24.557879146598964;678.0822941000532;11.497891444718832;11.047257468586624;25.55877867712698
9;0.7968868652380109;2.226798911877065;0.8025011929328867;0.35703466438728093;1.7911500584513647;23.269552495252885;658.4702185929007;10.885715724256272;10.438487611045936;24.267434771098145
10;0.829959238229576;2.343796053091044;0.8255815706794516;0.37391884014813936;1.8324810028577876;27.12394823080268;865.9298876435857;12.670626416840895;12.22011886144188;28.123878598874292
11;0.810462890732998;2.2245550549069053;0.8153597871791102;0.36526240515793135;1.809161643408048;25.52659176706434;769.0696475077043;11.954118328960925;11.502618548994594;26.528546253417563
12;0.8106082205308136;2.270334663878887;0.813523118461376;0.36356990142412243;1.8138149633234086;25.165384591362788;874.1384432168973;11.739646348744884;11.288766693922016;26.170507371540065
13;0.8062201663193506;2.1839420891678607;0.8134934734873921;0.36334441095292447;1.8050500399192282;25.40560295450441;901.9396220411974;11.899109709446195;11.4497382459478;26.402718796443715
14;0.8036161106505316;2.192745010407532;0.8113935386523734;0.36165503250227193;1.8029470559118734;26.629429681792367;847.2769089627961;12.434078047293347;11.982990875453678;27.63179115279629
15;0.8140756933298355;2.2777507241474093;0.8144828161816746;0.36464834910153016;1.8183399889630265;23.571611825591336;645.7374194880789;11.006793170119314;10.559697588870614;24.56969274921756
16;0.8313734081923065;2.365298792847083;0.827289134411264;0.37442863431192164;1.8366925125804636;26.231907646915392;785.4150598992152;12.259483110330109;11.809624328904201;27.230750270206908
17;0.8268991641229136;2.3263300487851666;0.8238062473200025;0.3722419186037688;1.8302089389980585;25.174382531708993;730.9191741923473;11.786074535006318;11.337012193010985;26.171993834881704
18;0.811008687246221;2.2441246131692907;0.8112268738666025;0.3626172828628168;1.8143427606098819;22.767067618735293;635.9687578439386;10.624826673388675;10.179324204762725;23.76349032968536
19;0.8140567020155056;2.326129094977624;0.8152500752401594;0.36552627711618946;1.8155556892226077;24.459340311977567;698.8894317773565;11.43525781487375;10.984458370897903;25.4631227501991
20;0.8229811543367376;2.3273762886636136;0.8233315461446732;0.3721601530493396;1.820755210407544;25.136907675261014;650.6177255093862;11.819502669934248;11.365431598733748;26.14122211432821
Media T-student;0.816884491227323;-;0.8180218121597747;0.3675978089793644;1.8178561811457434;25.566851885925395;-;11.9567137934399;11.506467113185973;26.567418383319172
Superior T-student;0.8219283121973223;-;0.8214543041368897;0.3702772199487334;1.8236371486898435;26.23758532238529;-;12.272889439365716;11.821838126307581;27.238671342073292
Inferior T-student;0.8118406702573236;-;0.8145893201826596;0.36491839800999537;1.8120752136016434;24.8961184494655;-;11.640538147514082;11.191096100064366;25.89616542456505
Precisão T-student;0.0061744604337160515;-;0.00419608857134564;0.007288974264586638;0.003180101706646817;0.026234494549918917;-;0.026443356543274264;0.027408153173288406;0.02526602129981808
Superior Chi-Quadrado;0.49730693029170325;7.070737963491259e-05;0.49799931408371806;0.2237879895244718;1.1066833644976295;15.56471296144853;1.2503895356665107;7.279066620616456;7.004963247574453;16.173842720570313
Inferior Chi-Quadrado;1.834352393282701;0.00026080925713215284;1.8369063007160997;0.8254581007575142;4.082081215079031;57.41156362901327;4.6121517669985606;26.849360954129423;25.838310941109228;59.658382572013636
Precisão Chi-Quadrado;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709
