Rodada;E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2]
1;0.8457186597857723;2.453276921132813;0.8914635894734385;0.40697569741970546;1.8489271572363783;28.125058712476633;991.7064786968431;14.039756340709573;13.555855258112807;29.131500227457643
2;0.8207990541997735;2.2916182900464936;0.879745928490734;0.3961835953251375;1.8259511987477681;24.69908896680814;708.7348548940869;12.41292618796093;11.931186744558824;25.69459936855931
3;0.8157920234487126;2.208050224682893;0.8742108175496843;0.3903578071561431;1.8233945488604333;23.961376582107107;611.6093307669489;12.072934792029175;11.589815129635927;24.953295468747978
4;0.7897473123448815;2.154473545949286;0.864928830961032;0.38398279942664754;1.7855173950033496;24.317115479875053;779.8950624665288;12.266122204073469;11.782222740758025;25.316744130904524
5;0.8092979198558446;2.276234623967798;0.875736725604715;0.39278475611382246;1.8067992274188134;23.23508724048592;606.7948320720216;11.805621116355976;11.323269194868923;24.230230789295415
6;0.8188015748710317;2.3135864598561646;0.8790146502441707;0.3954765912765213;1.8197846558381803;26.79843608700459;1049.9586650805836;13.42467041117352;12.942265704428408;27.79793342495855
7;0.8179887862855562;2.2596273293814964;0.8787758598278178;0.3954624688782159;1.8175238584534266;25.399906505737583;759.0184399127289;12.79058830587506;12.307688205552093;26.39694890366532
8;0.8298709249802759;2.3814815753114082;0.8834331084504413;0.39994266819551477;1.831883360089201;25.572661178326133;689.062140022081;12.82931121836751;12.344530812511666;26.577884685233034
9;0.8295993389313364;2.28699836161073;0.8881796485427055;0.4033559105090531;1.83365928917401;26.314871436349385;842.8647015326725;13.22150409322418;12.738340310925041;27.31535791887234
10;0.8380541932377092;2.505894140241891;0.8874325828838859;0.4046060307068714;1.8356162456500855;26.788667916615534;1151.222986728717;13.432602884019227;12.949906332708885;27.787151674448502
Superior T-student;0.8327666698747275;-;0.885863292985451;0.40193185960012984;1.8353884729411685;26.599553788836705;-;13.332591727801665;12.849359363875012;27.600764715883958
Inferior T-student;0.8103672877134515;-;0.8747210554202739;0.3918938054013967;1.8104229143531616;24.442900232320522;-;12.326615782956056;11.843656722937103;25.43956460254456
Precisão T-student;0.013632109578061595;-;0.006328715562686244;0.012645162081921103;0.006847737289705056;0.04225215260265983;-;0.03920526167551545;0.0407282219961387;0.04074635548291176
Superior Chi-Quadrado;0.431886141643781;0.0001288524950673197;0.46275714634214377;0.20865146265892276;0.9582757424907086;13.416148102486444;1.1944872694732505;6.7443412500125195;6.490384666466723;13.941275496780232
Inferior Chi-Quadrado;3.0424017675971013;0.0009076953876316981;3.259871119367282;1.4698354904122175;6.750528742836632;94.50942914258941;8.414509820079063;47.510197160343644;45.721211860347786;98.20866456267571
Precisão Chi-Quadrado;0.7513814900054463;0.7513814900054463;0.7513814900054463;0.7513814900054463;0.7513814900054463;0.7513814900054463;0.7513814900054463;0.7513814900054463;0.7513814900054463;0.7513814900054463
